,name,time,field,value
0,Anglogold - Tropicana,2024-01-10 07:00:00,Wind_Mag,6.80000019073
0,Anglogold - Tropicana,2024-01-10 08:00:00,T,41.5999984741
0,Anglogold - Tropicana,2024-01-10 08:00:00,Wind_Dir,78.5
0,Anglogold - Tropicana,2024-01-10 08:00:00,Wind_Mag,7.19999980927
0,Anglogold - Tropicana,2024-01-10 09:00:00,SigWaveHgt,0.0
0,Anglogold - Tropicana,2024-01-10 09:00:00,T,41.0
0,Anglogold - Tropicana,2024-01-10 09:00:00,Wind_Dir,82.5
0,Anglogold - Tropicana,2024-01-10 09:00:00,Wind_Mag,7.80000019073
0,Anglogold - Tropicana,2024-01-10 10:00:00,T,39.7000007629
0,Anglogold - Tropicana,2024-01-10 10:00:00,Wind_Dir,87.0
0,Anglogold - Tropicana,2024-01-10 10:00:00,Wind_Mag,8.0
0,Anglogold - Tropicana,2024-01-10 11:00:00,T,38.0
0,Anglogold - Tropicana,2024-01-10 11:00:00,Wind_Dir,87.4000015259
0,Anglogold - Tropicana,2024-01-10 11:00:00,Wind_Mag,8.69999980927
0,Anglogold - Tropicana,2024-01-10 12:00:00,SigWaveHgt,0.0
0,Anglogold - Tropicana,2024-01-10 12:00:00,T,36.7000007629
0,Anglogold - Tropicana,2024-01-10 12:00:00,Wind_Dir,87.0999984741
0,Anglogold - Tropicana,2024-01-10 12:00:00,Wind_Mag,9.39999961853
0,Anglogold - Tropicana,2024-01-10 13:00:00,T,35.7999992371
0,Anglogold - Tropicana,2024-01-10 13:00:00,Wind_Dir,79.5999984741
0,Anglogold - Tropicana,2024-01-10 13:00:00,Wind_Mag,10.0
0,Anglogold - Tropicana,2024-01-10 14:00:00,T,34.7000007629
0,Anglogold - Tropicana,2024-01-10 14:00:00,Wind_Dir,74.0
0,Anglogold - Tropicana,2024-01-10 14:00:00,Wind_Mag,10.3000001907
0,Anglogold - Tropicana,2024-01-10 15:00:00,SigWaveHgt,0.0
0,Anglogold - Tropicana,2024-01-10 15:00:00,T,33.7000007629
0,Anglogold - Tropicana,2024-01-10 15:00:00,Wind_Dir,72.1999969482
0,Anglogold - Tropicana,2024-01-10 15:00:00,Wind_Mag,11.1000003815
0,Anglogold - Tropicana,2024-01-10 16:00:00,T,32.7000007629
0,Anglogold - Tropicana,2024-01-10 16:00:00,Wind_Dir,66.8000030518
0,Anglogold - Tropicana,2024-01-10 16:00:00,Wind_Mag,12.5
0,Anglogold - Tropicana,2024-01-10 17:00:00,T,32.2000007629
0,Anglogold - Tropicana,2024-01-10 17:00:00,Wind_Dir,55.7000007629
0,Anglogold - Tropicana,2024-01-10 17:00:00,Wind_Mag,14.1000003815
0,Anglogold - Tropicana,2024-01-10 18:00:00,SigWaveHgt,0.0
0,Anglogold - Tropicana,2024-01-10 18:00:00,T,31.6000003815
0,Anglogold - Tropicana,2024-01-10 18:00:00,Wind_Dir,51.2999992371
0,Anglogold - Tropicana,2024-01-10 18:00:00,Wind_Mag,13.6999998093
0,Anglogold - Tropicana,2024-01-10 19:00:00,T,30.8999996185
0,Anglogold - Tropicana,2024-01-10 19:00:00,Wind_Dir,49.5999984741
0,Anglogold - Tropicana,2024-01-10 19:00:00,Wind_Mag,13.3999996185
0,Anglogold - Tropicana,2024-01-10 20:00:00,T,29.7999992371
0,Anglogold - Tropicana,2024-01-10 20:00:00,Wind_Dir,47.7999992371
0,Anglogold - Tropicana,2024-01-10 20:00:00,Wind_Mag,13.1999998093
0,Anglogold - Tropicana,2024-01-10 21:00:00,SigWaveHgt,0.0
0,Anglogold - Tropicana,2024-01-10 21:00:00,T,28.8999996185
0,Anglogold - Tropicana,2024-01-10 21:00:00,Wind_Dir,46.0
0,Anglogold - Tropicana,2024-01-10 21:00:00,Wind_Mag,12.6999998093
0,Anglogold - Tropicana,2024-01-10 22:00:00,T,30.3999996185
0,Anglogold - Tropicana,2024-01-10 22:00:00,Wind_Dir,44.7999992371
0,Anglogold - Tropicana,2024-01-10 22:00:00,Wind_Mag,12.8000001907
0,Anglogold - Tropicana,2024-01-10 23:00:00,T,32.5999984741
0,Anglogold - Tropicana,2024-01-10 23:00:00,Wind_Dir,42.7999992371
0,Anglogold - Tropicana,2024-01-10 23:00:00,Wind_Mag,15.1000003815
0,Anglogold - Tropicana,2024-01-11 00:00:00,SigWaveHgt,0.0
0,Anglogold - Tropicana,2024-01-11 00:00:00,T,34.7000007629
0,Anglogold - Tropicana,2024-01-11 00:00:00,Wind_Dir,39.2000007629
0,Anglogold - Tropicana,2024-01-11 00:00:00,Wind_Mag,17.2999992371
0,Anglogold - Tropicana,2024-01-11 01:00:00,T,36.4000015259
0,Anglogold - Tropicana,2024-01-11 01:00:00,Wind_Dir,35.5
0,Anglogold - Tropicana,2024-01-11 01:00:00,Wind_Mag,16.5
0,Anglogold - Tropicana,2024-01-11 02:00:00,T,38.2000007629
0,Anglogold - Tropicana,2024-01-11 02:00:00,Wind_Dir,32.9000015259
0,Anglogold - Tropicana,2024-01-11 02:00:00,Wind_Mag,15.3999996185
0,Anglogold - Tropicana,2024-01-11 03:00:00,SigWaveHgt,0.0
0,Anglogold - Tropicana,2024-01-11 03:00:00,T,40.2000007629
0,Anglogold - Tropicana,2024-01-11 03:00:00,Wind_Dir,29.6000003815
0,Anglogold - Tropicana,2024-01-11 03:00:00,Wind_Mag,14.1999998093
0,Anglogold - Tropicana,2024-01-11 04:00:00,T,41.2999992371
0,Anglogold - Tropicana,2024-01-11 04:00:00,Wind_Dir,32.7999992371
0,Anglogold - Tropicana,2024-01-11 04:00:00,Wind_Mag,12.1000003815
0,Anglogold - Tropicana,2024-01-11 05:00:00,T,42.0
0,Anglogold - Tropicana,2024-01-11 05:00:00,Wind_Dir,40.5
0,Anglogold - Tropicana,2024-01-11 05:00:00,Wind_Mag,10.3999996185
