Petrel_on_, -12.8200, 128.4800
Xena, -19.9600, 115.2180
Balnaves, -20.0700, 115.1830
Dampier_Po, -20.4360, 116.7310
Pt_Headlan, -20.1780, 118.5030
Ashburton_, -21.6000, 115.0000
Yoorn, -20.3400, 115.7900
Pyrenees, -21.5400, 114.1200
Spartan-2, -20.5300, 115.2500
Frigate-1, -13.1800, 127.9200
MS-1_Stand, -12.0400, 130.2300
MEFF, -19.2800, 116.6100
Scarb_new, -19.9900, 113.3250
Golden_Bea, -38.2300, 147.4200
PLA08, -19.9130, 115.1320
Enfield_Sh, -21.5000, 114.5000
Griffin, -21.2230, 114.6450
Stybarrow, -21.4500, 113.8200
